frame,x_raw,y_raw,r,sig_raw,peak,mass,mean,std,A,x,y,sig_x,sig_y,phi,area,dist_err,sigx_to_sigraw,sigy_to_sigraw
0,500.0,525.0,4.0,4.0,163,7962,98.29629629629629,34.3854133747036,165.57729915641744,500.48810960648217,524.6800492210517,3.3580633941003035,3.4632429104404427,1.8552298579809774,36.536060446807674,0.5836261550768527,0.8395158485250759,0.8658107276101107
0,500.0,475.0,2.0,2.0,134,2292,91.68,26.18811944374777,139.08970483716033,500.47914245822534,474.62990060128334,2.1485232418949263,2.2053597960627567,1.0858414786065638,14.885704102340176,0.6054346043997285,1.0742616209474631,1.1026798980313783
0,500.0,425.0,4.0,4.0,131,6640,81.9753086419753,28.09594466086203,136.5958359940302,500.287238628589,424.86545671561544,3.5953463523222555,3.290164712497517,-6.52970611025681,37.16278447847886,0.31718752359871916,0.8988365880805639,0.8225411781243792
0,500.0,374.0,3.0,3.0,202,6332,129.22448979591837,41.45824814226243,208.245875123289,499.97974757548207,374.50050923367604,2.8538374495739562,2.726461989237496,-0.36269610696871746,24.444353340735468,0.5009188094829667,0.9512791498579855,0.9088206630791653
0,500.0,324.0,4.0,4.0,121,5901,72.85185185185185,23.970718305399558,119.07982247736452,499.6839079683492,324.0937803968684,3.7782393329890347,3.2594784239547065,-0.6909349497088979,38.68899497298084,0.3297103809556402,0.9445598332472587,0.8148696059886766
0,500.0,275.0,2.0,2.0,127,2213,88.52,22.544391763806804,129.58759018245647,499.65583374583736,274.69960848340065,2.1481692161054657,2.3751495040248396,1.7373555387237087,16.029106445183814,0.4568210522176074,1.0740846080527329,1.1875747520124198
0,461.0,525.0,2.0,2.0,99,1560,62.4,18.950461735799475,99.0213319252689,460.71135230901007,524.971845724341,1.8457617785038278,2.1981479142410056,2.0439224033440575,12.746250052884992,0.29001750421603845,0.9228808892519139,1.0990739571205028
0,460.0,475.0,3.0,3.0,135,4322,88.20408163265306,26.546055160131885,137.62542453331864,460.24929296886444,474.6266330630138,2.7266119773206703,3.087817119981793,13.122047297553879,26.449945504541827,0.44894304088570497,0.9088706591068901,1.0292723733272644
0,460.0,425.0,2.0,2.0,154,2676,107.04,26.403757308383213,156.53324956146338,460.20000043119046,424.6842891462511,2.124428500725828,2.3757847713883398,0.13536743024510803,15.856198940090609,0.3737292009613743,1.062214250362914,1.1878923856941699
0,460.0,375.0,3.0,3.0,181,5852,119.42857142857143,35.45736157409232,186.713221251016,460.2008490583966,374.6210169047452,3.0327024509105067,2.7455048596181637,-14.622430841024538,26.157840765093752,0.4289155286856749,1.010900816970169,0.9151682865393879
